Image,Name,Price,Param,Location
https://images.tori.fi/api/v1/imagestori/images/1873603189.jpg?rule=thumb_280x210,MB om606 läpikäyty,3 900 €,1998|543 358 km|3.0 l|Diesel,Satakunta
https://images.tori.fi/api/v1/imagestori/images/3646721599.jpg?rule=thumb_280x210,Mercedes-Benz S 320 CDI,12 900 €,2003|150 000 km|Diesel,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3667654543.jpg?rule=thumb_280x210,Volvo S40 2.0T. Automatic. Siisti ja hyväkuntoinen,2 490 €,2004|264 123 km|1.9 l|Bensiini,Satakunta
https://images.tori.fi/api/v1/imagestori/images/1667879498.jpg?rule=thumb_280x210,Peugeot 207,5 200 €,2011|65 000 km|1.4 l|Bensiini,Lappi
https://images.tori.fi/api/v1/imagestori/images/3713880013.jpg?rule=thumb_280x210,Peugeot 505 V6 1982,1 500 €,1982|385 599 km,Kanta-Häme
,Kia sportage,,2015|230 000 km|2.0 l|Diesel,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/7792324910.jpg?rule=thumb_280x210,"C200 184hp.Moottorilla ajettu 45tkm, uusi jakopää",16 850 €,2011|122 000 km|1.8 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/1231933512.jpg?rule=thumb_280x210,Renault Scenic,4 300 €,2011|211 000 km|1.5 l|Diesel,Päijät-Häme
https://images.tori.fi/api/v1/imagestori/images/2087870856.jpg?rule=thumb_280x210,peugeot 3008 Tila-auto,4 990 €,2010|163 500 km|1.6 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3752909310.jpg?rule=thumb_280x210,Opel meriva,890 €,2004|240 000 km|1.6 l|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/6208378807.jpg?rule=thumb_280x210,BMW 520 d automaatti touring business 2012,13 250 €,2012|252 500 km|2.0 l|Diesel,Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3710212293.jpg?rule=thumb_280x210,Toyota Prius 1.8 Hybrib vm.2010,7 900 €,139 800 km|1.0 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/9770461925.jpg?rule=thumb_280x210,Vuokraa paku edullisesti/ Van for rent,Päivävuokra 50 €/pv,,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3460710056.jpg?rule=thumb_280x210,Vähän ajettu Chevrolet Trax,12 000 €,2013|37 300 km|1.6 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/6868634541.jpg?rule=thumb_280x210,Mercedes-Benz 220 diesel,14 800 €,2014|454 800 km|2.1 l|Diesel,Pohjois-Savo
,Volkswagen Polo,8 890 €,2014|90 000 km|1.0 l|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3771923344.jpg?rule=thumb_280x210,Volvo s60 2.4d automaatti,5 990 €,2008|287 187 km|2.4 l|Diesel,Satakunta
https://images.tori.fi/api/v1/imagestori/images/3789849536.jpg?rule=thumb_280x210,"VW Tansporter TDI 2,5",2 590 €,2001|Diesel,Uusimaa
,Ford focus farmari,700 €,2001|Bensiini,Varsinais-Suomi
,MB C 200Cdi,6 900 €,2008|350 000 km|2.1 l|Diesel,Pohjois-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3781117929.jpg?rule=thumb_280x210,Lada 1500,2 024 €,1995|43 000 km|Bensiini,Lappi
https://images.tori.fi/api/v1/imagestori/images/3796509603.jpg?rule=thumb_280x210,"Nissan Primera 2.0, vm. 2005",2 900 €,2005|198 000 km|2.0 l|Bensiini,Etelä-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3711473361.jpg?rule=thumb_280x210,Hieno erikoismallin Toyota Celica ,2 150 €,1994|302 000 km|Bensiini,Etelä-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3784410326.jpg?rule=thumb_280x210,Citroen Xsara myös vaihto Mopar -osiin,990 €,2005|Diesel,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3708759426.jpg?rule=thumb_280x210,Peugeot 607 2.2 bensa manuaali,500 €,2000|287 500 km|Bensiini,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/3798720349.jpg?rule=thumb_280x210,"Honda cr-v 2.2 Tdi Elegance plus, neliveto",3 500 €,2008|368 980 km|2.2 l|Diesel,Pohjois-Savo
https://images.tori.fi/api/v1/imagestori/images/3765101391.jpg?rule=thumb_280x210,Toyota Corolla 1.6,250 €,1998|304 000 km|1.6 l|Bensiini,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3786528268.jpg?rule=thumb_280x210,Audi A4 quatro 3L,4 650 €,2005|291 555 km|3.0 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3712352915.jpg?rule=thumb_280x210,saab 9-5 2.3 turbo 2002,850 €,2002|464 200 km|2.3 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/2780958859.jpg?rule=thumb_280x210,Volkswagen Transporter 2006 1.9 TDI pitkä,3 900 €,,Kymenlaakso
,Hyvä avolava pakettiauto,,,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/5972066536.jpg?rule=thumb_280x210,Mercedes-Benz sprinter 516CDI,12 490 €,2010|195 000 km|2.1 l|Diesel,Kainuu
https://images.tori.fi/api/v1/imagestori/images/3767994743.jpg?rule=thumb_280x210,VW Polo 1.0  83000km,8 500 €,83 000 km|1.0 l|Bensiini,Uusimaa
,Tarjoa autoasi,,,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3793744117.jpg?rule=thumb_280x210,M: opel corsa 1.2,1 650 €,2006|146 000 km|1.2 l|Bensiini,Kymenlaakso
https://images.tori.fi/api/v1/imagestori/images/1134003090.jpg?rule=thumb_280x210,"Hyundai i30 Wagon 1,6 Premium Automaatti | 2012",8 500 €,2012|116 600 km|1.6 l|Bensiini,Kanta-Häme
https://images.tori.fi/api/v1/imagestori/images/3782350126.jpg?rule=thumb_280x210,"Ford Focus 1,6i 100hv Ghia Bensiini",800 €,294 000 km|1.6 l|Bensiini,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/3712399317.jpg?rule=thumb_280x210,Peugeot 307,1 350 €,2003|163 000 km|1.6 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3779388734.jpg?rule=thumb_280x210,Ford Fiesta 1.3,1 870 €,2003|149 000 km|1.3 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3725140989.jpg?rule=thumb_280x210,Subaru Outback Bensa 2.5 Automaatti Neliveto,9 000 €,2009|247 500 km|2.5 l|Bensiini,Lappi
https://images.tori.fi/api/v1/imagestori/images/1873603189.jpg?rule=thumb_280x210,MB om606 läpikäyty,3 900 €,1998|543 358 km|3.0 l|Diesel,Satakunta
https://images.tori.fi/api/v1/imagestori/images/3646721599.jpg?rule=thumb_280x210,Mercedes-Benz S 320 CDI,12 900 €,2003|150 000 km|Diesel,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3667654543.jpg?rule=thumb_280x210,Volvo S40 2.0T. Automatic. Siisti ja hyväkuntoinen,2 490 €,2004|264 123 km|1.9 l|Bensiini,Satakunta
https://images.tori.fi/api/v1/imagestori/images/1667879498.jpg?rule=thumb_280x210,Peugeot 207,5 200 €,2011|65 000 km|1.4 l|Bensiini,Lappi
https://images.tori.fi/api/v1/imagestori/images/3713880013.jpg?rule=thumb_280x210,Peugeot 505 V6 1982,1 500 €,1982|385 599 km,Kanta-Häme
,Kia sportage,,2015|230 000 km|2.0 l|Diesel,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/7792324910.jpg?rule=thumb_280x210,"C200 184hp.Moottorilla ajettu 45tkm, uusi jakopää",16 850 €,2011|122 000 km|1.8 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/1231933512.jpg?rule=thumb_280x210,Renault Scenic,4 300 €,2011|211 000 km|1.5 l|Diesel,Päijät-Häme
https://images.tori.fi/api/v1/imagestori/images/2087870856.jpg?rule=thumb_280x210,peugeot 3008 Tila-auto,4 990 €,2010|163 500 km|1.6 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3752909310.jpg?rule=thumb_280x210,Opel meriva,890 €,2004|240 000 km|1.6 l|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/6208378807.jpg?rule=thumb_280x210,BMW 520 d automaatti touring business 2012,13 250 €,2012|252 500 km|2.0 l|Diesel,Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3710212293.jpg?rule=thumb_280x210,Toyota Prius 1.8 Hybrib vm.2010,7 900 €,139 800 km|1.0 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/9770461925.jpg?rule=thumb_280x210,Vuokraa paku edullisesti/ Van for rent,Päivävuokra 50 €/pv,,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3460710056.jpg?rule=thumb_280x210,Vähän ajettu Chevrolet Trax,12 000 €,2013|37 300 km|1.6 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/6868634541.jpg?rule=thumb_280x210,Mercedes-Benz 220 diesel,14 800 €,2014|454 800 km|2.1 l|Diesel,Pohjois-Savo
,Volkswagen Polo,8 890 €,2014|90 000 km|1.0 l|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3771923344.jpg?rule=thumb_280x210,Volvo s60 2.4d automaatti,5 990 €,2008|287 187 km|2.4 l|Diesel,Satakunta
https://images.tori.fi/api/v1/imagestori/images/3789849536.jpg?rule=thumb_280x210,"VW Tansporter TDI 2,5",2 590 €,2001|Diesel,Uusimaa
,Ford focus farmari,700 €,2001|Bensiini,Varsinais-Suomi
,MB C 200Cdi,6 900 €,2008|350 000 km|2.1 l|Diesel,Pohjois-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3781117929.jpg?rule=thumb_280x210,Lada 1500,2 024 €,1995|43 000 km|Bensiini,Lappi
https://images.tori.fi/api/v1/imagestori/images/3796509603.jpg?rule=thumb_280x210,"Nissan Primera 2.0, vm. 2005",2 900 €,2005|198 000 km|2.0 l|Bensiini,Etelä-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3711473361.jpg?rule=thumb_280x210,Hieno erikoismallin Toyota Celica ,2 150 €,1994|302 000 km|Bensiini,Etelä-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3784410326.jpg?rule=thumb_280x210,Citroen Xsara myös vaihto Mopar -osiin,990 €,2005|Diesel,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3708759426.jpg?rule=thumb_280x210,Peugeot 607 2.2 bensa manuaali,500 €,2000|287 500 km|Bensiini,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/3798720349.jpg?rule=thumb_280x210,"Honda cr-v 2.2 Tdi Elegance plus, neliveto",3 500 €,2008|368 980 km|2.2 l|Diesel,Pohjois-Savo
https://images.tori.fi/api/v1/imagestori/images/3765101391.jpg?rule=thumb_280x210,Toyota Corolla 1.6,250 €,1998|304 000 km|1.6 l|Bensiini,Keski-Suomi
https://images.tori.fi/api/v1/imagestori/images/3786528268.jpg?rule=thumb_280x210,Audi A4 quatro 3L,4 650 €,2005|291 555 km|3.0 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3712352915.jpg?rule=thumb_280x210,saab 9-5 2.3 turbo 2002,850 €,2002|464 200 km|2.3 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/2780958859.jpg?rule=thumb_280x210,Volkswagen Transporter 2006 1.9 TDI pitkä,3 900 €,,Kymenlaakso
,Hyvä avolava pakettiauto,,,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/5972066536.jpg?rule=thumb_280x210,Mercedes-Benz sprinter 516CDI,12 490 €,2010|195 000 km|2.1 l|Diesel,Kainuu
https://images.tori.fi/api/v1/imagestori/images/3767994743.jpg?rule=thumb_280x210,VW Polo 1.0  83000km,8 500 €,83 000 km|1.0 l|Bensiini,Uusimaa
,Tarjoa autoasi,,,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3793744117.jpg?rule=thumb_280x210,M: opel corsa 1.2,1 650 €,2006|146 000 km|1.2 l|Bensiini,Kymenlaakso
https://images.tori.fi/api/v1/imagestori/images/1134003090.jpg?rule=thumb_280x210,"Hyundai i30 Wagon 1,6 Premium Automaatti | 2012",8 500 €,2012|116 600 km|1.6 l|Bensiini,Kanta-Häme
https://images.tori.fi/api/v1/imagestori/images/3782350126.jpg?rule=thumb_280x210,"Ford Focus 1,6i 100hv Ghia Bensiini",800 €,294 000 km|1.6 l|Bensiini,Pohjois-Karjala
https://images.tori.fi/api/v1/imagestori/images/3712399317.jpg?rule=thumb_280x210,Peugeot 307,1 350 €,2003|163 000 km|1.6 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3779388734.jpg?rule=thumb_280x210,Ford Fiesta 1.3,1 870 €,2003|149 000 km|1.3 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3725140989.jpg?rule=thumb_280x210,Subaru Outback Bensa 2.5 Automaatti Neliveto,9 000 €,2009|247 500 km|2.5 l|Bensiini,Lappi
,Audi a41.9tdi -04,1 800 €,2004|365 000 km|Diesel,Pohjois-Savo
https://images.tori.fi/api/v1/imagestori/images/3750114953.jpg?rule=thumb_280x210,Toyota Aygo 1.0 3d plus,2 250 €,2006|147 000 km|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3719701779.jpg?rule=thumb_280x210,Volvo V70 D5 Geartronic Xenon JUURI KATSASTETTU,3 900 €,2005|367 000 km|Diesel,Pohjanmaa
,"Auto hakusessa, myös viallinen max. 5000eur",,,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3733039444.jpg?rule=thumb_280x210,VW Transporter SYNCRO,3 490 €,2001|505 000 km|2.5 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3754125018.jpg?rule=thumb_280x210,Mercedez-Benz C 180hv,3 700 €,2003|272 000 km|Diesel,Pohjois-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3796070347.jpg?rule=thumb_280x210,Chevrolet Kalos,2 800 €,2007|135 364 km|1.4 l|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3765732446.jpg?rule=thumb_280x210,Toyota Corolla 1.3 XLi 4D sedan,1 500 €,1994|242 000 km|Bensiini,Etelä-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3732536255.jpg?rule=thumb_280x210,Mini Cooper BAKER STREET EDITION,8 990 €,2013|78 500 km|Bensiini,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3734816083.jpg?rule=thumb_280x210,Peugeot 307 SW Edition,500 €,2004|204 000 km|1.6 l|Bensiini,Päijät-Häme
https://images.tori.fi/api/v1/imagestori/images/1054189556.jpg?rule=thumb_280x210,Sprinter 313 CDI tarkastettu hyväkuntoinen,2 350 €,2001|2.1 l|Diesel,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3707799450.jpg?rule=thumb_280x210,Volvo V70 2.4D -02 rek. pakettiautoksi,2 000 €,2002|416 000 km|Diesel,Pohjois-Karjala
,Auto rahaksi!,,,Satakunta
https://images.tori.fi/api/v1/imagestori/images/8956057398.jpg?rule=thumb_280x210,Chrysler 300c,5 500 €,2005|337 000 km|Bensiini,Varsinais-Suomi
https://images.tori.fi/api/v1/imagestori/images/3778294701.jpg?rule=thumb_280x210,audi a6 4-veto automaatti,3 900 €,2004|480 000 km|3.0 l|Diesel,Pirkanmaa
https://images.tori.fi/api/v1/imagestori/images/3767491554.jpg?rule=thumb_280x210,"Opel Omega 2.2, vaihdetaan",2 390 €,2001|228 000 km|Bensiini,Etelä-Savo
https://images.tori.fi/api/v1/imagestori/images/3741817453.jpg?rule=thumb_280x210,Saab 900 S,800 €,1995|275 000 km|2.3 l|Bensiini,Päijät-Häme
https://images.tori.fi/api/v1/imagestori/images/3741001832.jpg?rule=thumb_280x210,Toyota Corolla ,970 €,1999|326 000 km|1.6 l|Bensiini,Päijät-Häme
,Tarviis edullisesti autoa vuokralle,,,Uusimaa
https://images.tori.fi/api/v1/imagestori/images/3671064508.jpg?rule=thumb_280x210,Citröen C4,300 €,2006|234 009 km|1.6 l|Bensiini,Uusimaa
,Kierrätä romut,,,Etelä-Karjala
https://images.tori.fi/api/v1/imagestori/images/9106610453.jpg?rule=thumb_280x210,Kierrätykseen auton romut,,,Etelä-Savo
https://images.tori.fi/api/v1/imagestori/images/3098813702.jpg?rule=thumb_280x210,Vw transporter 5 paikkainen,8 499 €,2013|300 000 km|2.0 l|Diesel,Pohjois-Savo
https://images.tori.fi/api/v1/imagestori/images/8644960575.jpg?rule=thumb_280x210,Toyotat purkuun/ Vientiin,,,Etelä-Karjala
https://images.tori.fi/api/v1/imagestori/images/100044142254.jpg?rule=thumb_280x210,Kia Rio,8 990 €,2016|77 500 km|1.2 l|Bensiini,Etelä-Pohjanmaa
,Romut kiertoon,,,Pohjois-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/0494952360.jpg?rule=thumb_280x210,Toyotat paketti/henkilö mallit/kunnostettavat,,,Etelä-Karjala
https://images.tori.fi/api/v1/imagestori/images/3746990633.jpg?rule=thumb_280x210,Renault Laguna,2 400 €,2004|177 000 km|2.0 l|Bensiini,Pohjois-Savo
,Henkilö tai paketti,,,Uusimaa
,Kierrätä romusi,,,Kainuu
,Metallit rahaksi,,,Kainuu
,Romua romua,,,Pohjois-Pohjanmaa
https://images.tori.fi/api/v1/imagestori/images/3158893450.jpg?rule=thumb_280x210,Renault Clio 1.2 16v. Uusi korimalli!!,1 790 €,2007|282 123 km|1.1 l|Bensiini,Satakunta
